%time,field.layout.data_offset,field.data0
1749437657700986913,0,292
1749437657700995220,0,291
1749437657701068860,0,292
1749437657701245400,0,294
1749437657701274679,0,293
1749437657701290388,0,292
1749437657701327166,0,292
1749437657701352532,0,292
1749437657701382772,0,292
1749437657701412873,0,292
1749437657701437537,0,292
1749437657704740925,0,293
1749437657704752689,0,291
1749437657704762838,0,292
1749437657704774727,0,293
1749437657704789782,0,292
1749437657704813138,0,292
1749437657704836051,0,292
1749437657704881256,0,292
1749437657704893999,0,292
1749437657704902237,0,292
1749437657704927719,0,292
1749437657704948890,0,293
1749437657705083040,0,292
1749437657705103097,0,291
1749437657705148738,0,292
1749437657705196797,0,292
1749437657708865012,0,292
1749437657708882764,0,290
1749437657709079105,0,292
1749437657709090551,0,292
1749437657709125721,0,292
1749437657709175043,0,292
1749437657709210037,0,294
1749437657709234850,0,293
1749437657709256843,0,292
1749437657709279629,0,292
1749437657709294793,0,292
1749437657709363091,0,292
1749437657709377683,0,294
1749437657709398623,0,292
1749437657709417504,0,291
1749437657709479460,0,292
1749437657712916666,0,292
1749437657712933712,0,291
1749437657712946250,0,292
1749437657712969644,0,292
1749437657712984619,0,292
1749437657713006879,0,292
1749437657713031626,0,292
1749437657713073595,0,294
1749437657713113487,0,291
1749437657713203413,0,285
1749437657713211381,0,298
