%time,field.layout.data_offset,field.data0
1749302465157594920,0,315
1749302465161567547,0,316
1749302465161570648,0,316
1749302465161594983,0,316
1749302465161600634,0,316
1749302465161608008,0,316
1749302465161622938,0,317
1749302465161629592,0,316
1749302465161637833,0,316
1749302465161644482,0,316
1749302465161648634,0,316
1749302465161655236,0,316
1749302465161663360,0,316
1749302465161682064,0,316
1749302465161686431,0,315
1749302465161708631,0,316
1749302465165671014,0,317
1749302465165680796,0,314
1749302465165689071,0,318
1749302465165698561,0,316
1749302465165703853,0,317
1749302465165709808,0,316
1749302465165720847,0,317
1749302465165744739,0,316
1749302465165750217,0,316
1749302465165755271,0,315
1749302465165765465,0,316
1749302465165772105,0,316
1749302465165777191,0,316
1749302465165783230,0,317
1749302465165790828,0,316
1749302465165804974,0,315
1749302465169817602,0,316
1749302465169824117,0,315
1749302465169836033,0,313
1749302465169853689,0,317
1749302465169875388,0,319
1749302465169880596,0,315
1749302465169887007,0,316
1749302465169892591,0,316
1749302465169897440,0,318
1749302465169901618,0,316
1749302465169905570,0,316
1749302465173867192,0,316
1749302465173870763,0,316
1749302465173881721,0,315
1749302465173889580,0,316
1749302465173898122,0,316
1749302465173919751,0,316
1749302465173922379,0,316
1749302465173924618,0,316
1749302465173928500,0,313
1749302465173943123,0,316
1749302465173961470,0,315
1749302465173967801,0,316
1749302465173972118,0,318
1749302465173978515,0,314
1749302465173983913,0,313
1749302465177899531,0,315
1749302465177904888,0,316
1749302465177909709,0,316
1749302465177915490,0,317
1749302465177925339,0,316
1749302465177930370,0,316
1749302465177935873,0,316
1749302465177941021,0,318
1749302465177944612,0,316
1749302465177950186,0,316
1749302465177954685,0,316
1749302465182084481,0,307
1749302465182102395,0,316
1749302465182131948,0,316
1749302465182140445,0,311
1749302465182154349,0,314
1749302465182168058,0,316
1749302465182181031,0,316
1749302465182186474,0,316
1749302465182190145,0,352
1749302465182235084,0,317
1749302465182241682,0,316
1749302465182249810,0,315
1749302465182263687,0,315
1749302465182268770,0,316
1749302465182279317,0,316
1749302465182286254,0,316
1749302465186203982,0,316
1749302465186213149,0,316
1749302465186218611,0,316
1749302465186230236,0,335
1749302465186234609,0,317
1749302465186241978,0,316
1749302465186262296,0,315
1749302465186269798,0,317
1749302465186289243,0,316
1749302465186304018,0,316
1749302465186311550,0,318
1749302465190308593,0,317
1749302465190321008,0,316
1749302465190324171,0,319
1749302465190337165,0,316
1749302465190343609,0,316
1749302465190347042,0,315
1749302465190354670,0,322
1749302465190359700,0,316
1749302465190363041,0,315
