%time,field.data
1749302441451554422,2.0
1749302441461713081,2.0
1749302441471520682,2.0
1749302441481748801,2.0
1749302441491698701,2.0
1749302441501589883,2.0
1749302441511611494,2.0
1749302441521588060,2.0
1749302441531656548,2.0
1749302441541642537,2.0
1749302441551684503,2.0
1749302441561730311,2.0
1749302441571812133,2.0
1749302441581654786,2.0
1749302441591750083,2.0
1749302441601581237,2.0
1749302441611644558,2.0
1749302441621640297,2.0
1749302441631675769,2.0
1749302441641598056,2.0
1749302441651637590,2.0
1749302441661589320,2.0
1749302441671588782,2.0
1749302441681641787,2.0
1749302441691640099,2.0
1749302441701688396,2.0
1749302441711652633,2.0
1749302441721641512,2.0
1749302441731644466,2.0
1749302441741838401,2.0
1749302441751635015,2.0
1749302441761603777,2.0
1749302441771650610,2.0
1749302441781744396,2.0
1749302441791637898,2.0
1749302441801663057,2.0
1749302441811641663,2.0
1749302441821590423,2.0
1749302441831568322,2.0
1749302441841653851,2.0
1749302441851565089,2.0
1749302441861569931,2.0
1749302441871642079,2.0
1749302441881685354,2.0
1749302441891617316,2.0
1749302441901750882,2.0
1749302441911543089,2.0
1749302441921635676,2.0
1749302441931531528,2.0
1749302441941595916,2.0
1749302441951574128,2.0
1749302441961609571,2.0
1749302441971599847,2.0
1749302441981619907,2.0
1749302441991584411,2.0
1749302442001616660,2.0
1749302442011593092,2.0
1749302442021586695,2.0
1749302442031641363,2.0
1749302442041648883,2.0
1749302442051557926,2.0
1749302442061602225,2.0
1749302442071625469,2.0
1749302442081814317,2.0
1749302442091636447,2.0
1749302442101642785,2.0
1749302442111588701,2.0
1749302442121575256,2.0
1749302442131579489,2.0
1749302442141675751,2.0
1749302442151565414,2.0
1749302442161637611,2.0
1749302442171557052,2.0
1749302442181670667,2.0
1749302442191611685,2.0
1749302442201659946,2.0
1749302442211774979,2.0
1749302442221695014,2.0
1749302442231660036,2.0
1749302442241646896,2.0
1749302442251569800,2.0
1749302442261673682,2.0
1749302442271650131,2.0
1749302442281647581,2.0
1749302442291622900,2.0
1749302442301730462,2.0
1749302442311630679,2.0
1749302442321641607,2.0
1749302442331712553,2.0
1749302442341839448,2.0
1749302442351714432,2.0
1749302442361713317,2.0
1749302442371644220,2.0
1749302442381620741,2.0
1749302442391574174,2.0
1749302442401598532,2.0
1749302442411604282,2.0
1749302442421576287,2.0
1749302442431553692,2.0
1749302442441648688,2.0
1749302442451613758,2.0
1749302442461725863,2.0
1749302442471618478,2.0
1749302442481677076,2.0
1749302442491630429,2.0
1749302442501609668,2.0
1749302442511568105,2.0
1749302442521603741,2.0
1749302442531563673,2.0
1749302442541625665,2.0
1749302442551808431,2.0
1749302442561744738,2.0
